"STATISTIC","STATISTIC Label","TLIST(A1)","Year","C02541V03076","Component","UNIT","VALUE"
"PEA15","Annual Population Change","1999","1999","02","Annual deaths","Thousand","32.4"
"PEA15","Annual Population Change","1999","1999","03","Natural increase","Thousand","21.2"
"PEA15","Annual Population Change","1999","1999","04","Immigrants","Thousand","48.9"
"PEA15","Annual Population Change","1999","1999","05","Emigrants","Thousand","31.5"
"PEA15","Annual Population Change","1999","1999","06","Net migration","Thousand","17.3"
"PEA15","Annual Population Change","1999","1999","07","Population change","Thousand","38.5"
"PEA15","Annual Population Change","1999","1999","08","Population","Thousand","3741.6"
"PEA15","Annual Population Change","2000","2000","01","Annual births","Thousand","54"
"PEA15","Annual Population Change","2000","2000","02","Annual deaths","Thousand","32.1"
"PEA15","Annual Population Change","2000","2000","03","Natural increase","Thousand","21.8"
"PEA15","Annual Population Change","2000","2000","04","Immigrants","Thousand","52.6"
"PEA15","Annual Population Change","2000","2000","05","Emigrants","Thousand","26.6"
"PEA15","Annual Population Change","2000","2000","06","Net migration","Thousand","26"
"PEA15","Annual Population Change","2000","2000","07","Population change","Thousand","47.9"
"PEA15","Annual Population Change","2000","2000","08","Population","Thousand","3789.5"
"PEA15","Annual Population Change","2001","2001","01","Annual births","Thousand","55.1"
"PEA15","Annual Population Change","2001","2001","02","Annual deaths","Thousand","30.2"
"PEA15","Annual Population Change","2001","2001","03","Natural increase","Thousand","24.8"
"PEA15","Annual Population Change","2001","2001","04","Immigrants","Thousand","59"
"PEA15","Annual Population Change","2001","2001","05","Emigrants","Thousand","26.2"
"PEA15","Annual Population Change","2001","2001","06","Net migration","Thousand","32.8"
"PEA15","Annual Population Change","2001","2001","07","Population change","Thousand","57.7"
"PEA15","Annual Population Change","2001","2001","08","Population","Thousand","3847.2"
"PEA15","Annual Population Change","2002","2002","01","Annual births","Thousand","58.1"
"PEA15","Annual Population Change","2002","2002","02","Annual deaths","Thousand","29.3"
"PEA15","Annual Population Change","2002","2002","03","Natural increase","Thousand","28.8"
"PEA15","Annual Population Change","2002","2002","04","Immigrants","Thousand","66.9"
"PEA15","Annual Population Change","2002","2002","05","Emigrants","Thousand","25.6"
"PEA15","Annual Population Change","2002","2002","06","Net migration","Thousand","41.3"
"PEA15","Annual Population Change","2002","2002","07","Population change","Thousand","70"
"PEA15","Annual Population Change","2002","2002","08","Population","Thousand","3917.2"
"PEA15","Annual Population Change","2003","2003","01","Annual births","Thousand","60.8"
"PEA15","Annual Population Change","2003","2003","02","Annual deaths","Thousand","28.9"
"PEA15","Annual Population Change","2003","2003","03","Natural increase","Thousand","31.9"
"PEA15","Annual Population Change","2003","2003","04","Immigrants","Thousand","60"
"PEA15","Annual Population Change","2003","2003","05","Emigrants","Thousand","29.3"
"PEA15","Annual Population Change","2003","2003","06","Net migration","Thousand","30.7"
"PEA15","Annual Population Change","2003","2003","07","Population change","Thousand","62.6"
"PEA15","Annual Population Change","2003","2003","08","Population","Thousand","3979.9"
"PEA15","Annual Population Change","2004","2004","01","Annual births","Thousand","62"
"PEA15","Annual Population Change","2004","2004","02","Annual deaths","Thousand","28.6"
"PEA15","Annual Population Change","2004","2004","03","Natural increase","Thousand","33.3"
"PEA15","Annual Population Change","2004","2004","04","Immigrants","Thousand","58.5"
"PEA15","Annual Population Change","2004","2004","05","Emigrants","Thousand","26.5"
"PEA15","Annual Population Change","2004","2004","06","Net migration","Thousand","32"
"PEA15","Annual Population Change","2004","2004","07","Population change","Thousand","65.3"
"PEA15","Annual Population Change","2004","2004","08","Population","Thousand","4045.2"
"PEA15","Annual Population Change","2005","2005","01","Annual births","Thousand","61.4"
"PEA15","Annual Population Change","2005","2005","02","Annual deaths","Thousand","27.9"
"PEA15","Annual Population Change","2005","2005","03","Natural increase","Thousand","33.5"
"PEA15","Annual Population Change","2005","2005","04","Immigrants","Thousand","84.6"
"PEA15","Annual Population Change","2005","2005","05","Emigrants","Thousand","29.4"
"PEA15","Annual Population Change","2005","2005","06","Net migration","Thousand","55.1"
"PEA15","Annual Population Change","2005","2005","07","Population change","Thousand","88.6"
"PEA15","Annual Population Change","2005","2005","08","Population","Thousand","4133.8"
"PEA15","Annual Population Change","2006","2006","01","Annual births","Thousand","61.2"
"PEA15","Annual Population Change","2006","2006","02","Annual deaths","Thousand","27"
"PEA15","Annual Population Change","2006","2006","03","Natural increase","Thousand","34.2"
"PEA15","Annual Population Change","2006","2006","04","Immigrants","Thousand","107.8"
"PEA15","Annual Population Change","2006","2006","05","Emigrants","Thousand","36"
"PEA15","Annual Population Change","2006","2006","06","Net migration","Thousand","71.8"
"PEA15","Annual Population Change","2006","2006","07","Population change","Thousand","106"
"PEA15","Annual Population Change","2006","2006","08","Population","Thousand","4232.9"
"PEA15","Annual Population Change","2007","2007","01","Annual births","Thousand","66.6"
"PEA15","Annual Population Change","2007","2007","02","Annual deaths","Thousand","28.4"
"PEA15","Annual Population Change","2007","2007","03","Natural increase","Thousand","38.2"
"PEA15","Annual Population Change","2007","2007","04","Immigrants","Thousand","151.1"
"PEA15","Annual Population Change","2007","2007","05","Emigrants","Thousand","46.3"
"PEA15","Annual Population Change","2007","2007","06","Net migration","Thousand","104.8"
"PEA15","Annual Population Change","2007","2007","07","Population change","Thousand","142.9"
"PEA15","Annual Population Change","2007","2007","08","Population","Thousand","4375.8"
"PEA15","Annual Population Change","2008","2008","01","Annual births","Thousand","73"
"PEA15","Annual Population Change","2008","2008","02","Annual deaths","Thousand","28"
"PEA15","Annual Population Change","2008","2008","03","Natural increase","Thousand","44.9"
"PEA15","Annual Population Change","2008","2008","04","Immigrants","Thousand","113.5"
"PEA15","Annual Population Change","2008","2008","05","Emigrants","Thousand","49.2"
"PEA15","Annual Population Change","2008","2008","06","Net migration","Thousand","64.3"
"PEA15","Annual Population Change","2008","2008","07","Population change","Thousand","109.2"
"PEA15","Annual Population Change","2008","2008","08","Population","Thousand","4485.1"
"PEA15","Annual Population Change","2009","2009","01","Annual births","Thousand","75.3"
"PEA15","Annual Population Change","2009","2009","02","Annual deaths","Thousand","28.6"
"PEA15","Annual Population Change","2009","2009","03","Natural increase","Thousand","46.7"
"PEA15","Annual Population Change","2009","2009","04","Immigrants","Thousand","73.7"
"PEA15","Annual Population Change","2009","2009","05","Emigrants","Thousand","72"
"PEA15","Annual Population Change","2009","2009","06","Net migration","Thousand","1.6"
"PEA15","Annual Population Change","2009","2009","07","Population change","Thousand","48.3"
"PEA15","Annual Population Change","2009","2009","08","Population","Thousand","4533.4"
"PEA15","Annual Population Change","2010","2010","01","Annual births","Thousand","77.2"
"PEA15","Annual Population Change","2010","2010","02","Annual deaths","Thousand","28.4"
"PEA15","Annual Population Change","2010","2010","03","Natural increase","Thousand","48.8"
"PEA15","Annual Population Change","2010","2010","04","Immigrants","Thousand","41.8"
"PEA15","Annual Population Change","2010","2010","05","Emigrants","Thousand","69.2"
"PEA15","Annual Population Change","2010","2010","06","Net migration","Thousand","-27.5"
"PEA15","Annual Population Change","2010","2010","07","Population change","Thousand","21.4"
"PEA15","Annual Population Change","2010","2010","08","Population","Thousand","4554.8"
"PEA15","Annual Population Change","2011","2011","01","Annual births","Thousand","75.1"
"PEA15","Annual Population Change","2011","2011","02","Annual deaths","Thousand","27.7"
"PEA15","Annual Population Change","2011","2011","03","Natural increase","Thousand","47.5"
"PEA15","Annual Population Change","2011","2011","04","Immigrants","Thousand","53.3"
"PEA15","Annual Population Change","2011","2011","05","Emigrants","Thousand","80.6"
"PEA15","Annual Population Change","2011","2011","06","Net migration","Thousand","-27.4"
"PEA15","Annual Population Change","2011","2011","07","Population change","Thousand","20.1"
"PEA15","Annual Population Change","2011","2011","08","Population","Thousand","4574.9"
"PEA15","Annual Population Change","2012","2012","01","Annual births","Thousand","73.2"
"PEA15","Annual Population Change","2012","2012","02","Annual deaths","Thousand","28.7"
"PEA15","Annual Population Change","2012","2012","03","Natural increase","Thousand","44.5"
"PEA15","Annual Population Change","2012","2012","04","Immigrants","Thousand","57.3"
"PEA15","Annual Population Change","2012","2012","05","Emigrants","Thousand","83"
"PEA15","Annual Population Change","2012","2012","06","Net migration","Thousand","-25.7"
"PEA15","Annual Population Change","2012","2012","07","Population change","Thousand","18.8"
"PEA15","Annual Population Change","2012","2012","08","Population","Thousand","4593.7"
"PEA15","Annual Population Change","2013","2013","01","Annual births","Thousand","69.4"
"PEA15","Annual Population Change","2013","2013","02","Annual deaths","Thousand","29.8"
"PEA15","Annual Population Change","2013","2013","03","Natural increase","Thousand","39.6"
"PEA15","Annual Population Change","2013","2013","04","Immigrants","Thousand","62.7"
"PEA15","Annual Population Change","2013","2013","05","Emigrants","Thousand","81.3"
"PEA15","Annual Population Change","2013","2013","06","Net migration","Thousand","-18.7"
"PEA15","Annual Population Change","2013","2013","07","Population change","Thousand","21"
"PEA15","Annual Population Change","2013","2013","08","Population","Thousand","4614.7"
"PEA15","Annual Population Change","2014","2014","01","Annual births","Thousand","68.4"
"PEA15","Annual Population Change","2014","2014","02","Annual deaths","Thousand","29.2"
"PEA15","Annual Population Change","2014","2014","03","Natural increase","Thousand","39.2"
"PEA15","Annual Population Change","2014","2014","04","Immigrants","Thousand","66.5"
"PEA15","Annual Population Change","2014","2014","05","Emigrants","Thousand","75"
"PEA15","Annual Population Change","2014","2014","06","Net migration","Thousand","-8.5"
"PEA15","Annual Population Change","2014","2014","07","Population change","Thousand","30.8"
"PEA15","Annual Population Change","2014","2014","08","Population","Thousand","4645.4"
"PEA15","Annual Population Change","2015","2015","01","Annual births","Thousand","66.4"
"PEA15","Annual Population Change","2015","2015","02","Annual deaths","Thousand","29.9"
"PEA15","Annual Population Change","2015","2015","03","Natural increase","Thousand","36.5"
"PEA15","Annual Population Change","2015","2015","04","Immigrants","Thousand","75.9"
"PEA15","Annual Population Change","2015","2015","05","Emigrants","Thousand","70"
"PEA15","Annual Population Change","2015","2015","06","Net migration","Thousand","5.9"
"PEA15","Annual Population Change","2015","2015","07","Population change","Thousand","42.3"
"PEA15","Annual Population Change","2015","2015","08","Population","Thousand","4687.8"
"PEA15","Annual Population Change","2016","2016","01","Annual births","Thousand","65.4"
"PEA15","Annual Population Change","2016","2016","02","Annual deaths","Thousand","29.8"
"PEA15","Annual Population Change","2016","2016","03","Natural increase","Thousand","35.6"
"PEA15","Annual Population Change","2016","2016","04","Immigrants","Thousand","82.3"
"PEA15","Annual Population Change","2016","2016","05","Emigrants","Thousand","66.2"
"PEA15","Annual Population Change","2016","2016","06","Net migration","Thousand","16.2"
"PEA15","Annual Population Change","2016","2016","07","Population change","Thousand","51.8"
"PEA15","Annual Population Change","2016","2016","08","Population","Thousand","4739.6"
"PEA15","Annual Population Change","2017","2017","01","Annual births","Thousand","63.4"
"PEA15","Annual Population Change","2017","2017","02","Annual deaths","Thousand","31.3"
"PEA15","Annual Population Change","2017","2017","03","Natural increase","Thousand","32.1"
"PEA15","Annual Population Change","2017","2017","04","Immigrants","Thousand","95.3"
"PEA15","Annual Population Change","2017","2017","05","Emigrants","Thousand","56.1"
"PEA15","Annual Population Change","2017","2017","06","Net migration","Thousand","39.2"
"PEA15","Annual Population Change","2017","2017","07","Population change","Thousand","71.3"
"PEA15","Annual Population Change","2017","2017","08","Population","Thousand","4810.9"
"PEA15","Annual Population Change","2018","2018","01","Annual births","Thousand","61.6"
"PEA15","Annual Population Change","2018","2018","02","Annual deaths","Thousand","32"
"PEA15","Annual Population Change","2018","2018","03","Natural increase","Thousand","29.6"
"PEA15","Annual Population Change","2018","2018","04","Immigrants","Thousand","96"
"PEA15","Annual Population Change","2018","2018","05","Emigrants","Thousand","51.6"
"PEA15","Annual Population Change","2018","2018","06","Net migration","Thousand","44.4"
"PEA15","Annual Population Change","2018","2018","07","Population change","Thousand","74"
"PEA15","Annual Population Change","2018","2018","08","Population","Thousand","4884.9"
"PEA15","Annual Population Change","2019","2019","01","Annual births","Thousand","60.5"
"PEA15","Annual Population Change","2019","2019","02","Annual deaths","Thousand","30.9"
"PEA15","Annual Population Change","2019","2019","03","Natural increase","Thousand","29.6"
"PEA15","Annual Population Change","2019","2019","04","Immigrants","Thousand","97.1"
"PEA15","Annual Population Change","2019","2019","05","Emigrants","Thousand","53.1"
"PEA15","Annual Population Change","2019","2019","06","Net migration","Thousand","44"
"PEA15","Annual Population Change","2019","2019","07","Population change","Thousand","73.6"
"PEA15","Annual Population Change","2019","2019","08","Population","Thousand","4958.5"
"PEA15","Annual Population Change","2020","2020","01","Annual births","Thousand","59.1"
"PEA15","Annual Population Change","2020","2020","02","Annual deaths","Thousand","32.4"
"PEA15","Annual Population Change","2020","2020","03","Natural increase","Thousand","26.7"
"PEA15","Annual Population Change","2020","2020","04","Immigrants","Thousand","95.6"
"PEA15","Annual Population Change","2020","2020","05","Emigrants","Thousand","50.9"
"PEA15","Annual Population Change","2020","2020","06","Net migration","Thousand","44.7"
"PEA15","Annual Population Change","2020","2020","07","Population change","Thousand","71.4"
"PEA15","Annual Population Change","2020","2020","08","Population","Thousand","5029.9"
"PEA15","Annual Population Change","2021","2021","01","Annual births","Thousand","57.3"
"PEA15","Annual Population Change","2021","2021","02","Annual deaths","Thousand","34.3"
"PEA15","Annual Population Change","2021","2021","03","Natural increase","Thousand","23"
"PEA15","Annual Population Change","2021","2021","04","Immigrants","Thousand","74.1"
"PEA15","Annual Population Change","2021","2021","05","Emigrants","Thousand","52.3"
"PEA15","Annual Population Change","2021","2021","06","Net migration","Thousand","21.8"
"PEA15","Annual Population Change","2021","2021","07","Population change","Thousand","44.8"
"PEA15","Annual Population Change","2021","2021","08","Population","Thousand","5074.7"
"PEA15","Annual Population Change","2022","2022","01","Annual births","Thousand","59.7"
"PEA15","Annual Population Change","2022","2022","02","Annual deaths","Thousand","33.6"
"PEA15","Annual Population Change","2022","2022","03","Natural increase","Thousand","26.1"
"PEA15","Annual Population Change","2022","2022","04","Immigrants","Thousand","107.8"
"PEA15","Annual Population Change","2022","2022","05","Emigrants","Thousand","56.1"
"PEA15","Annual Population Change","2022","2022","06","Net migration","Thousand","51.7"
"PEA15","Annual Population Change","2022","2022","07","Population change","Thousand","77.8"
"PEA15","Annual Population Change","2022","2022","08","Population","Thousand","5184"
"PEA15","Annual Population Change","2023","2023","01","Annual births","Thousand","55.5"
"PEA15","Annual Population Change","2023","2023","02","Annual deaths","Thousand","35.5"
"PEA15","Annual Population Change","2023","2023","03","Natural increase","Thousand","20"
"PEA15","Annual Population Change","2023","2023","04","Immigrants","Thousand","141.6"
"PEA15","Annual Population Change","2023","2023","05","Emigrants","Thousand","64"
"PEA15","Annual Population Change","2023","2023","06","Net migration","Thousand","77.6"
"PEA15","Annual Population Change","2023","2023","07","Population change","Thousand","97.6"
"PEA15","Annual Population Change","2023","2023","08","Population","Thousand","5281.6"
