"STATISTIC","STATISTIC Label","TLIST(A1)","Year","C02076V03371","Age Group","C02199V02655","Sex","C02542V03077","Inward or Outward Flow","UNIT","VALUE"
"PEA03","Estimated Migration (Persons in April)","1994","1994","310","15 - 24 years","-","Both sexes","04","Emigrants: All destinations","Thousand","24.6"
"PEA03","Estimated Migration (Persons in April)","1994","1994","310","15 - 24 years","-","Both sexes","05","Immigrants: All origins","Thousand","9.7"
"PEA03","Estimated Migration (Persons in April)","1994","1994","310","15 - 24 years","1","Male","01","Net migration","Thousand",""
"PEA03","Estimated Migration (Persons in April)","1994","1994","310","15 - 24 years","1","Male","04","Emigrants: All destinations","Thousand","11.6"
"PEA03","Estimated Migration (Persons in April)","1994","1994","310","15 - 24 years","1","Male","05","Immigrants: All origins","Thousand","4"
"PEA03","Estimated Migration (Persons in April)","1994","1994","310","15 - 24 years","2","Female","01","Net migration","Thousand",""
"PEA03","Estimated Migration (Persons in April)","1994","1994","310","15 - 24 years","2","Female","04","Emigrants: All destinations","Thousand","13"
"PEA03","Estimated Migration (Persons in April)","1994","1994","310","15 - 24 years","2","Female","05","Immigrants: All origins","Thousand","5.7"
"PEA03","Estimated Migration (Persons in April)","1994","1994","420","25 - 44 years","-","Both sexes","01","Net migration","Thousand",""
"PEA03","Estimated Migration (Persons in April)","1994","1994","420","25 - 44 years","-","Both sexes","04","Emigrants: All destinations","Thousand","8.2"
"PEA03","Estimated Migration (Persons in April)","1994","1994","420","25 - 44 years","-","Both sexes","05","Immigrants: All origins","Thousand","12.1"
"PEA03","Estimated Migration (Persons in April)","1994","1994","420","25 - 44 years","1","Male","01","Net migration","Thousand",""
"PEA03","Estimated Migration (Persons in April)","1994","1994","420","25 - 44 years","1","Male","04","Emigrants: All destinations","Thousand","5.3"
"PEA03","Estimated Migration (Persons in April)","1994","1994","420","25 - 44 years","1","Male","05","Immigrants: All origins","Thousand","6.3"
"PEA03","Estimated Migration (Persons in April)","1994","1994","420","25 - 44 years","2","Female","01","Net migration","Thousand",""
"PEA03","Estimated Migration (Persons in April)","1994","1994","420","25 - 44 years","2","Female","04","Emigrants: All destinations","Thousand","2.9"
"PEA03","Estimated Migration (Persons in April)","1994","1994","420","25 - 44 years","2","Female","05","Immigrants: All origins","Thousand","5.8"
"PEA03","Estimated Migration (Persons in April)","1994","1994","505","45 - 64 years","-","Both sexes","01","Net migration","Thousand",""
"PEA03","Estimated Migration (Persons in April)","1994","1994","505","45 - 64 years","-","Both sexes","04","Emigrants: All destinations","Thousand","0.6"
"PEA03","Estimated Migration (Persons in April)","1994","1994","505","45 - 64 years","-","Both sexes","05","Immigrants: All origins","Thousand","3.1"
"PEA03","Estimated Migration (Persons in April)","1994","1994","505","45 - 64 years","1","Male","01","Net migration","Thousand",""
"PEA03","Estimated Migration (Persons in April)","1994","1994","505","45 - 64 years","1","Male","04","Emigrants: All destinations","Thousand","0"
"PEA03","Estimated Migration (Persons in April)","1994","1994","505","45 - 64 years","1","Male","05","Immigrants: All origins","Thousand","1.6"
"PEA03","Estimated Migration (Persons in April)","1994","1994","505","45 - 64 years","2","Female","01","Net migration","Thousand",""
"PEA03","Estimated Migration (Persons in April)","1994","1994","505","45 - 64 years","2","Female","04","Emigrants: All destinations","Thousand","0.6"
"PEA03","Estimated Migration (Persons in April)","1994","1994","505","45 - 64 years","2","Female","05","Immigrants: All origins","Thousand","1.4"
"PEA03","Estimated Migration (Persons in April)","1994","1994","575","65 years and over","-","Both sexes","01","Net migration","Thousand",""
"PEA03","Estimated Migration (Persons in April)","1994","1994","575","65 years and over","-","Both sexes","04","Emigrants: All destinations","Thousand","0"
"PEA03","Estimated Migration (Persons in April)","1994","1994","575","65 years and over","-","Both sexes","05","Immigrants: All origins","Thousand","0.9"
"PEA03","Estimated Migration (Persons in April)","1994","1994","575","65 years and over","1","Male","01","Net migration","Thousand",""
"PEA03","Estimated Migration (Persons in April)","1994","1994","575","65 years and over","1","Male","04","Emigrants: All destinations","Thousand","0"
"PEA03","Estimated Migration (Persons in April)","1994","1994","575","65 years and over","1","Male","05","Immigrants: All origins","Thousand","0.4"
"PEA03","Estimated Migration (Persons in April)","1994","1994","575","65 years and over","2","Female","01","Net migration","Thousand",""
"PEA03","Estimated Migration (Persons in April)","1994","1994","575","65 years and over","2","Female","04","Emigrants: All destinations","Thousand","0"
"PEA03","Estimated Migration (Persons in April)","1994","1994","575","65 years and over","2","Female","05","Immigrants: All origins","Thousand","0.4"
"PEA03","Estimated Migration (Persons in April)","1995","1995","-","All ages","-","Both sexes","01","Net migration","Thousand","-1.9"
"PEA03","Estimated Migration (Persons in April)","1995","1995","-","All ages","-","Both sexes","04","Emigrants: All destinations","Thousand","33.1"
"PEA03","Estimated Migration (Persons in April)","1995","1995","-","All ages","-","Both sexes","05","Immigrants: All origins","Thousand","31.2"
"PEA03","Estimated Migration (Persons in April)","1995","1995","-","All ages","1","Male","01","Net migration","Thousand",""
"PEA03","Estimated Migration (Persons in April)","1995","1995","-","All ages","1","Male","04","Emigrants: All destinations","Thousand",""
"PEA03","Estimated Migration (Persons in April)","1995","1995","-","All ages","1","Male","05","Immigrants: All origins","Thousand",""
"PEA03","Estimated Migration (Persons in April)","1995","1995","-","All ages","2","Female","01","Net migration","Thousand",""
"PEA03","Estimated Migration (Persons in April)","1995","1995","-","All ages","2","Female","04","Emigrants: All destinations","Thousand",""
"PEA03","Estimated Migration (Persons in April)","1995","1995","-","All ages","2","Female","05","Immigrants: All origins","Thousand",""
"PEA03","Estimated Migration (Persons in April)","1995","1995","215","0 - 14 years","-","Both sexes","01","Net migration","Thousand",""
"PEA03","Estimated Migration (Persons in April)","1995","1995","215","0 - 14 years","-","Both sexes","04","Emigrants: All destinations","Thousand","1.2"
"PEA03","Estimated Migration (Persons in April)","1995","1995","215","0 - 14 years","-","Both sexes","05","Immigrants: All origins","Thousand","5.3"
"PEA03","Estimated Migration (Persons in April)","1995","1995","215","0 - 14 years","1","Male","01","Net migration","Thousand",""
"PEA03","Estimated Migration (Persons in April)","1995","1995","215","0 - 14 years","1","Male","04","Emigrants: All destinations","Thousand","0.6"
"PEA03","Estimated Migration (Persons in April)","1995","1995","215","0 - 14 years","1","Male","05","Immigrants: All origins","Thousand","2.6"
"PEA03","Estimated Migration (Persons in April)","1995","1995","215","0 - 14 years","2","Female","01","Net migration","Thousand",""
"PEA03","Estimated Migration (Persons in April)","1995","1995","215","0 - 14 years","2","Female","04","Emigrants: All destinations","Thousand","0.6"
"PEA03","Estimated Migration (Persons in April)","1995","1995","215","0 - 14 years","2","Female","05","Immigrants: All origins","Thousand","2.7"
"PEA03","Estimated Migration (Persons in April)","1995","1995","310","15 - 24 years","-","Both sexes","01","Net migration","Thousand",""
"PEA03","Estimated Migration (Persons in April)","1995","1995","310","15 - 24 years","-","Both sexes","04","Emigrants: All destinations","Thousand","22.6"
"PEA03","Estimated Migration (Persons in April)","1995","1995","310","15 - 24 years","-","Both sexes","05","Immigrants: All origins","Thousand","8"
"PEA03","Estimated Migration (Persons in April)","1995","1995","310","15 - 24 years","1","Male","01","Net migration","Thousand",""
"PEA03","Estimated Migration (Persons in April)","1995","1995","310","15 - 24 years","1","Male","04","Emigrants: All destinations","Thousand","11.8"
"PEA03","Estimated Migration (Persons in April)","1995","1995","310","15 - 24 years","1","Male","05","Immigrants: All origins","Thousand","3.2"
"PEA03","Estimated Migration (Persons in April)","1995","1995","310","15 - 24 years","2","Female","01","Net migration","Thousand",""
"PEA03","Estimated Migration (Persons in April)","1995","1995","310","15 - 24 years","2","Female","04","Emigrants: All destinations","Thousand","10.8"
"PEA03","Estimated Migration (Persons in April)","1995","1995","310","15 - 24 years","2","Female","05","Immigrants: All origins","Thousand","4.8"
"PEA03","Estimated Migration (Persons in April)","1995","1995","420","25 - 44 years","-","Both sexes","01","Net migration","Thousand",""
"PEA03","Estimated Migration (Persons in April)","1995","1995","420","25 - 44 years","-","Both sexes","04","Emigrants: All destinations","Thousand","8.5"
"PEA03","Estimated Migration (Persons in April)","1995","1995","420","25 - 44 years","-","Both sexes","05","Immigrants: All origins","Thousand","14.6"
"PEA03","Estimated Migration (Persons in April)","1995","1995","420","25 - 44 years","1","Male","01","Net migration","Thousand",""
"PEA03","Estimated Migration (Persons in April)","1995","1995","420","25 - 44 years","1","Male","04","Emigrants: All destinations","Thousand","5.5"
"PEA03","Estimated Migration (Persons in April)","1995","1995","420","25 - 44 years","1","Male","05","Immigrants: All origins","Thousand","7.5"
"PEA03","Estimated Migration (Persons in April)","1995","1995","420","25 - 44 years","2","Female","01","Net migration","Thousand",""
"PEA03","Estimated Migration (Persons in April)","1995","1995","420","25 - 44 years","2","Female","04","Emigrants: All destinations","Thousand","2.9"
"PEA03","Estimated Migration (Persons in April)","1995","1995","420","25 - 44 years","2","Female","05","Immigrants: All origins","Thousand","7.1"
"PEA03","Estimated Migration (Persons in April)","1995","1995","505","45 - 64 years","-","Both sexes","01","Net migration","Thousand",""
"PEA03","Estimated Migration (Persons in April)","1995","1995","505","45 - 64 years","-","Both sexes","04","Emigrants: All destinations","Thousand","0.8"
"PEA03","Estimated Migration (Persons in April)","1995","1995","505","45 - 64 years","-","Both sexes","05","Immigrants: All origins","Thousand","2.6"
"PEA03","Estimated Migration (Persons in April)","1995","1995","505","45 - 64 years","1","Male","01","Net migration","Thousand",""
"PEA03","Estimated Migration (Persons in April)","1995","1995","505","45 - 64 years","1","Male","04","Emigrants: All destinations","Thousand","0.3"
"PEA03","Estimated Migration (Persons in April)","1995","1995","505","45 - 64 years","1","Male","05","Immigrants: All origins","Thousand","1.3"
"PEA03","Estimated Migration (Persons in April)","1995","1995","505","45 - 64 years","2","Female","01","Net migration","Thousand",""
"PEA03","Estimated Migration (Persons in April)","1995","1995","505","45 - 64 years","2","Female","04","Emigrants: All destinations","Thousand","0.5"
"PEA03","Estimated Migration (Persons in April)","1995","1995","505","45 - 64 years","2","Female","05","Immigrants: All origins","Thousand","1.3"
"PEA03","Estimated Migration (Persons in April)","1995","1995","575","65 years and over","-","Both sexes","01","Net migration","Thousand",""
"PEA03","Estimated Migration (Persons in April)","1995","1995","575","65 years and over","-","Both sexes","04","Emigrants: All destinations","Thousand","0"
"PEA03","Estimated Migration (Persons in April)","1995","1995","575","65 years and over","-","Both sexes","05","Immigrants: All origins","Thousand","0.7"
"PEA03","Estimated Migration (Persons in April)","1995","1995","575","65 years and over","1","Male","01","Net migration","Thousand",""
"PEA03","Estimated Migration (Persons in April)","1995","1995","575","65 years and over","1","Male","04","Emigrants: All destinations","Thousand","0"
"PEA03","Estimated Migration (Persons in April)","1995","1995","575","65 years and over","1","Male","05","Immigrants: All origins","Thousand","0.2"
"PEA03","Estimated Migration (Persons in April)","1995","1995","575","65 years and over","2","Female","01","Net migration","Thousand",""
"PEA03","Estimated Migration (Persons in April)","1995","1995","575","65 years and over","2","Female","04","Emigrants: All destinations","Thousand","0"
"PEA03","Estimated Migration (Persons in April)","1995","1995","575","65 years and over","2","Female","05","Immigrants: All origins","Thousand","0.5"
"PEA03","Estimated Migration (Persons in April)","1996","1996","-","All ages","-","Both sexes","01","Net migration","Thousand","8"
"PEA03","Estimated Migration (Persons in April)","1996","1996","-","All ages","-","Both sexes","04","Emigrants: All destinations","Thousand","31.2"
"PEA03","Estimated Migration (Persons in April)","1996","1996","-","All ages","-","Both sexes","05","Immigrants: All origins","Thousand","39.2"
"PEA03","Estimated Migration (Persons in April)","1996","1996","-","All ages","1","Male","01","Net migration","Thousand",""
"PEA03","Estimated Migration (Persons in April)","1996","1996","-","All ages","1","Male","04","Emigrants: All destinations","Thousand",""
"PEA03","Estimated Migration (Persons in April)","1996","1996","-","All ages","1","Male","05","Immigrants: All origins","Thousand",""
"PEA03","Estimated Migration (Persons in April)","1996","1996","-","All ages","2","Female","01","Net migration","Thousand",""
"PEA03","Estimated Migration (Persons in April)","1996","1996","-","All ages","2","Female","04","Emigrants: All destinations","Thousand",""
"PEA03","Estimated Migration (Persons in April)","1996","1996","-","All ages","2","Female","05","Immigrants: All origins","Thousand",""
"PEA03","Estimated Migration (Persons in April)","1996","1996","215","0 - 14 years","-","Both sexes","01","Net migration","Thousand",""
"PEA03","Estimated Migration (Persons in April)","1996","1996","215","0 - 14 years","-","Both sexes","04","Emigrants: All destinations","Thousand","0.9"
"PEA03","Estimated Migration (Persons in April)","1996","1996","215","0 - 14 years","-","Both sexes","05","Immigrants: All origins","Thousand","6.6"
"PEA03","Estimated Migration (Persons in April)","1996","1996","215","0 - 14 years","1","Male","01","Net migration","Thousand",""
"PEA03","Estimated Migration (Persons in April)","1996","1996","215","0 - 14 years","1","Male","04","Emigrants: All destinations","Thousand","0.4"
"PEA03","Estimated Migration (Persons in April)","1996","1996","215","0 - 14 years","1","Male","05","Immigrants: All origins","Thousand","3.1"
"PEA03","Estimated Migration (Persons in April)","1996","1996","215","0 - 14 years","2","Female","01","Net migration","Thousand",""
"PEA03","Estimated Migration (Persons in April)","1996","1996","215","0 - 14 years","2","Female","04","Emigrants: All destinations","Thousand","0.6"
"PEA03","Estimated Migration (Persons in April)","1996","1996","215","0 - 14 years","2","Female","05","Immigrants: All origins","Thousand","3.6"
"PEA03","Estimated Migration (Persons in April)","1996","1996","310","15 - 24 years","-","Both sexes","01","Net migration","Thousand",""
"PEA03","Estimated Migration (Persons in April)","1996","1996","310","15 - 24 years","-","Both sexes","04","Emigrants: All destinations","Thousand","21.4"
"PEA03","Estimated Migration (Persons in April)","1996","1996","310","15 - 24 years","-","Both sexes","05","Immigrants: All origins","Thousand","10.9"
"PEA03","Estimated Migration (Persons in April)","1996","1996","310","15 - 24 years","1","Male","01","Net migration","Thousand",""
"PEA03","Estimated Migration (Persons in April)","1996","1996","310","15 - 24 years","1","Male","04","Emigrants: All destinations","Thousand","9.8"
"PEA03","Estimated Migration (Persons in April)","1996","1996","310","15 - 24 years","1","Male","05","Immigrants: All origins","Thousand","4.2"
"PEA03","Estimated Migration (Persons in April)","1996","1996","310","15 - 24 years","2","Female","01","Net migration","Thousand",""
"PEA03","Estimated Migration (Persons in April)","1996","1996","310","15 - 24 years","2","Female","04","Emigrants: All destinations","Thousand","11.7"
"PEA03","Estimated Migration (Persons in April)","1996","1996","310","15 - 24 years","2","Female","05","Immigrants: All origins","Thousand","6.7"
"PEA03","Estimated Migration (Persons in April)","1996","1996","420","25 - 44 years","-","Both sexes","01","Net migration","Thousand",""
"PEA03","Estimated Migration (Persons in April)","1996","1996","420","25 - 44 years","-","Both sexes","04","Emigrants: All destinations","Thousand","8.1"
"PEA03","Estimated Migration (Persons in April)","1996","1996","420","25 - 44 years","-","Both sexes","05","Immigrants: All origins","Thousand","16.9"
"PEA03","Estimated Migration (Persons in April)","1996","1996","420","25 - 44 years","1","Male","01","Net migration","Thousand",""
"PEA03","Estimated Migration (Persons in April)","1996","1996","420","25 - 44 years","1","Male","04","Emigrants: All destinations","Thousand","5.1"
"PEA03","Estimated Migration (Persons in April)","1996","1996","420","25 - 44 years","1","Male","05","Immigrants: All origins","Thousand","8.7"
"PEA03","Estimated Migration (Persons in April)","1996","1996","420","25 - 44 years","2","Female","01","Net migration","Thousand",""
"PEA03","Estimated Migration (Persons in April)","1996","1996","420","25 - 44 years","2","Female","04","Emigrants: All destinations","Thousand","3"
"PEA03","Estimated Migration (Persons in April)","1996","1996","420","25 - 44 years","2","Female","05","Immigrants: All origins","Thousand","8.1"
"PEA03","Estimated Migration (Persons in April)","1996","1996","505","45 - 64 years","-","Both sexes","01","Net migration","Thousand",""
"PEA03","Estimated Migration (Persons in April)","1996","1996","505","45 - 64 years","-","Both sexes","04","Emigrants: All destinations","Thousand","0.7"
"PEA03","Estimated Migration (Persons in April)","1996","1996","505","45 - 64 years","-","Both sexes","05","Immigrants: All origins","Thousand","3.6"
"PEA03","Estimated Migration (Persons in April)","1996","1996","505","45 - 64 years","1","Male","01","Net migration","Thousand",""
"PEA03","Estimated Migration (Persons in April)","1996","1996","505","45 - 64 years","1","Male","04","Emigrants: All destinations","Thousand","0"
"PEA03","Estimated Migration (Persons in April)","1996","1996","505","45 - 64 years","1","Male","05","Immigrants: All origins","Thousand","2.2"
"PEA03","Estimated Migration (Persons in April)","1996","1996","505","45 - 64 years","2","Female","01","Net migration","Thousand",""
"PEA03","Estimated Migration (Persons in April)","1996","1996","505","45 - 64 years","2","Female","04","Emigrants: All destinations","Thousand","0.7"
"PEA03","Estimated Migration (Persons in April)","1996","1996","505","45 - 64 years","2","Female","05","Immigrants: All origins","Thousand","1.3"
"PEA03","Estimated Migration (Persons in April)","1996","1996","575","65 years and over","-","Both sexes","01","Net migration","Thousand",""
"PEA03","Estimated Migration (Persons in April)","1996","1996","575","65 years and over","-","Both sexes","04","Emigrants: All destinations","Thousand","0"
"PEA03","Estimated Migration (Persons in April)","1996","1996","575","65 years and over","-","Both sexes","05","Immigrants: All origins","Thousand","1.2"
"PEA03","Estimated Migration (Persons in April)","1996","1996","575","65 years and over","1","Male","01","Net migration","Thousand",""
"PEA03","Estimated Migration (Persons in April)","1996","1996","575","65 years and over","1","Male","04","Emigrants: All destinations","Thousand","0"
"PEA03","Estimated Migration (Persons in April)","1996","1996","575","65 years and over","1","Male","05","Immigrants: All origins","Thousand","0.6"
"PEA03","Estimated Migration (Persons in April)","1996","1996","575","65 years and over","2","Female","01","Net migration","Thousand",""
"PEA03","Estimated Migration (Persons in April)","1996","1996","575","65 years and over","2","Female","04","Emigrants: All destinations","Thousand","0"
"PEA03","Estimated Migration (Persons in April)","1996","1996","575","65 years and over","2","Female","05","Immigrants: All origins","Thousand","0.6"
"PEA03","Estimated Migration (Persons in April)","1997","1997","-","All ages","-","Both sexes","01","Net migration","Thousand","19.2"
"PEA03","Estimated Migration (Persons in April)","1997","1997","-","All ages","-","Both sexes","04","Emigrants: All destinations","Thousand","25.3"
"PEA03","Estimated Migration (Persons in April)","1997","1997","-","All ages","-","Both sexes","05","Immigrants: All origins","Thousand","44.5"
"PEA03","Estimated Migration (Persons in April)","1997","1997","-","All ages","1","Male","01","Net migration","Thousand",""
"PEA03","Estimated Migration (Persons in April)","1997","1997","-","All ages","1","Male","04","Emigrants: All destinations","Thousand",""
"PEA03","Estimated Migration (Persons in April)","1997","1997","-","All ages","1","Male","05","Immigrants: All origins","Thousand",""
"PEA03","Estimated Migration (Persons in April)","1997","1997","-","All ages","2","Female","01","Net migration","Thousand",""
"PEA03","Estimated Migration (Persons in April)","1997","1997","-","All ages","2","Female","04","Emigrants: All destinations","Thousand",""
"PEA03","Estimated Migration (Persons in April)","1997","1997","-","All ages","2","Female","05","Immigrants: All origins","Thousand",""
"PEA03","Estimated Migration (Persons in April)","1997","1997","215","0 - 14 years","-","Both sexes","01","Net migration","Thousand",""
"PEA03","Estimated Migration (Persons in April)","1997","1997","215","0 - 14 years","-","Both sexes","04","Emigrants: All destinations","Thousand","0.3"
"PEA03","Estimated Migration (Persons in April)","1997","1997","215","0 - 14 years","-","Both sexes","05","Immigrants: All origins","Thousand","6.4"
"PEA03","Estimated Migration (Persons in April)","1997","1997","215","0 - 14 years","1","Male","01","Net migration","Thousand",""
"PEA03","Estimated Migration (Persons in April)","1997","1997","215","0 - 14 years","1","Male","04","Emigrants: All destinations","Thousand","0.1"
"PEA03","Estimated Migration (Persons in April)","1997","1997","215","0 - 14 years","1","Male","05","Immigrants: All origins","Thousand","2.9"
"PEA03","Estimated Migration (Persons in April)","1997","1997","215","0 - 14 years","2","Female","01","Net migration","Thousand",""
"PEA03","Estimated Migration (Persons in April)","1997","1997","215","0 - 14 years","2","Female","04","Emigrants: All destinations","Thousand","0.2"
"PEA03","Estimated Migration (Persons in April)","1997","1997","215","0 - 14 years","2","Female","05","Immigrants: All origins","Thousand","3.5"
"PEA03","Estimated Migration (Persons in April)","1997","1997","310","15 - 24 years","-","Both sexes","01","Net migration","Thousand",""
"PEA03","Estimated Migration (Persons in April)","1997","1997","310","15 - 24 years","-","Both sexes","04","Emigrants: All destinations","Thousand","19.4"
"PEA03","Estimated Migration (Persons in April)","1997","1997","310","15 - 24 years","-","Both sexes","05","Immigrants: All origins","Thousand","13.8"
"PEA03","Estimated Migration (Persons in April)","1997","1997","310","15 - 24 years","1","Male","01","Net migration","Thousand",""
"PEA03","Estimated Migration (Persons in April)","1997","1997","310","15 - 24 years","1","Male","04","Emigrants: All destinations","Thousand","9"
"PEA03","Estimated Migration (Persons in April)","1997","1997","310","15 - 24 years","1","Male","05","Immigrants: All origins","Thousand","5.9"
"PEA03","Estimated Migration (Persons in April)","1997","1997","310","15 - 24 years","2","Female","01","Net migration","Thousand",""
"PEA03","Estimated Migration (Persons in April)","1997","1997","310","15 - 24 years","2","Female","04","Emigrants: All destinations","Thousand","10.4"
"PEA03","Estimated Migration (Persons in April)","1997","1997","310","15 - 24 years","2","Female","05","Immigrants: All origins","Thousand","7.8"
"PEA03","Estimated Migration (Persons in April)","1997","1997","420","25 - 44 years","-","Both sexes","01","Net migration","Thousand",""
"PEA03","Estimated Migration (Persons in April)","1997","1997","420","25 - 44 years","-","Both sexes","04","Emigrants: All destinations","Thousand","5.6"
"PEA03","Estimated Migration (Persons in April)","1997","1997","420","25 - 44 years","-","Both sexes","05","Immigrants: All origins","Thousand","18.2"
"PEA03","Estimated Migration (Persons in April)","1997","1997","420","25 - 44 years","1","Male","01","Net migration","Thousand",""
"PEA03","Estimated Migration (Persons in April)","1997","1997","420","25 - 44 years","1","Male","04","Emigrants: All destinations","Thousand","3.4"
"PEA03","Estimated Migration (Persons in April)","1997","1997","420","25 - 44 years","1","Male","05","Immigrants: All origins","Thousand","9.6"
"PEA03","Estimated Migration (Persons in April)","1997","1997","420","25 - 44 years","2","Female","01","Net migration","Thousand",""
"PEA03","Estimated Migration (Persons in April)","1997","1997","420","25 - 44 years","2","Female","04","Emigrants: All destinations","Thousand","2.2"
"PEA03","Estimated Migration (Persons in April)","1997","1997","420","25 - 44 years","2","Female","05","Immigrants: All origins","Thousand","8.6"
"PEA03","Estimated Migration (Persons in April)","1997","1997","505","45 - 64 years","-","Both sexes","01","Net migration","Thousand",""
"PEA03","Estimated Migration (Persons in April)","1997","1997","505","45 - 64 years","-","Both sexes","04","Emigrants: All destinations","Thousand","0"
"PEA03","Estimated Migration (Persons in April)","1997","1997","505","45 - 64 years","-","Both sexes","05","Immigrants: All origins","Thousand","4.7"
"PEA03","Estimated Migration (Persons in April)","1997","1997","505","45 - 64 years","1","Male","01","Net migration","Thousand",""
"PEA03","Estimated Migration (Persons in April)","1997","1997","505","45 - 64 years","1","Male","04","Emigrants: All destinations","Thousand","0"
"PEA03","Estimated Migration (Persons in April)","1997","1997","505","45 - 64 years","1","Male","05","Immigrants: All origins","Thousand","2.7"
"PEA03","Estimated Migration (Persons in April)","1997","1997","505","45 - 64 years","2","Female","01","Net migration","Thousand",""
"PEA03","Estimated Migration (Persons in April)","1997","1997","505","45 - 64 years","2","Female","04","Emigrants: All destinations","Thousand","0"
"PEA03","Estimated Migration (Persons in April)","1997","1997","505","45 - 64 years","2","Female","05","Immigrants: All origins","Thousand","2"
"PEA03","Estimated Migration (Persons in April)","1997","1997","575","65 years and over","-","Both sexes","01","Net migration","Thousand",""
"PEA03","Estimated Migration (Persons in April)","1997","1997","575","65 years and over","-","Both sexes","04","Emigrants: All destinations","Thousand","0"
"PEA03","Estimated Migration (Persons in April)","1997","1997","575","65 years and over","-","Both sexes","05","Immigrants: All origins","Thousand","1.5"
"PEA03","Estimated Migration (Persons in April)","1997","1997","575","65 years and over","1","Male","01","Net migration","Thousand",""
"PEA03","Estimated Migration (Persons in April)","1997","1997","575","65 years and over","1","Male","04","Emigrants: All destinations","Thousand","0"
"PEA03","Estimated Migration (Persons in April)","1997","1997","575","65 years and over","1","Male","05","Immigrants: All origins","Thousand","0.8"
"PEA03","Estimated Migration (Persons in April)","1997","1997","575","65 years and over","2","Female","01","Net migration","Thousand",""
"PEA03","Estimated Migration (Persons in April)","1997","1997","575","65 years and over","2","Female","04","Emigrants: All destinations","Thousand","0"
"PEA03","Estimated Migration (Persons in April)","1997","1997","575","65 years and over","2","Female","05","Immigrants: All origins","Thousand","0.7"
"PEA03","Estimated Migration (Persons in April)","1998","1998","-","All ages","-","Both sexes","01","Net migration","Thousand","17.4"
"PEA03","Estimated Migration (Persons in April)","1998","1998","-","All ages","-","Both sexes","04","Emigrants: All destinations","Thousand","28.6"
"PEA03","Estimated Migration (Persons in April)","1998","1998","-","All ages","-","Both sexes","05","Immigrants: All origins","Thousand","46"
"PEA03","Estimated Migration (Persons in April)","1998","1998","-","All ages","1","Male","01","Net migration","Thousand",""
"PEA03","Estimated Migration (Persons in April)","1998","1998","-","All ages","1","Male","04","Emigrants: All destinations","Thousand",""
"PEA03","Estimated Migration (Persons in April)","1998","1998","-","All ages","1","Male","05","Immigrants: All origins","Thousand",""
"PEA03","Estimated Migration (Persons in April)","1998","1998","-","All ages","2","Female","01","Net migration","Thousand",""
"PEA03","Estimated Migration (Persons in April)","1998","1998","-","All ages","2","Female","04","Emigrants: All destinations","Thousand",""
"PEA03","Estimated Migration (Persons in April)","1998","1998","-","All ages","2","Female","05","Immigrants: All origins","Thousand",""
"PEA03","Estimated Migration (Persons in April)","1998","1998","215","0 - 14 years","-","Both sexes","01","Net migration","Thousand",""
"PEA03","Estimated Migration (Persons in April)","1998","1998","215","0 - 14 years","-","Both sexes","04","Emigrants: All destinations","Thousand","1.6"
"PEA03","Estimated Migration (Persons in April)","1998","1998","215","0 - 14 years","-","Both sexes","05","Immigrants: All origins","Thousand","7.5"
"PEA03","Estimated Migration (Persons in April)","1998","1998","215","0 - 14 years","1","Male","01","Net migration","Thousand",""
"PEA03","Estimated Migration (Persons in April)","1998","1998","215","0 - 14 years","1","Male","04","Emigrants: All destinations","Thousand","0.4"
"PEA03","Estimated Migration (Persons in April)","1998","1998","215","0 - 14 years","1","Male","05","Immigrants: All origins","Thousand","3.4"
"PEA03","Estimated Migration (Persons in April)","1998","1998","215","0 - 14 years","2","Female","01","Net migration","Thousand",""
"PEA03","Estimated Migration (Persons in April)","1998","1998","215","0 - 14 years","2","Female","04","Emigrants: All destinations","Thousand","1.2"
"PEA03","Estimated Migration (Persons in April)","1998","1998","215","0 - 14 years","2","Female","05","Immigrants: All origins","Thousand","4.1"
"PEA03","Estimated Migration (Persons in April)","1998","1998","310","15 - 24 years","-","Both sexes","01","Net migration","Thousand",""
"PEA03","Estimated Migration (Persons in April)","1998","1998","310","15 - 24 years","-","Both sexes","04","Emigrants: All destinations","Thousand","21.1"
"PEA03","Estimated Migration (Persons in April)","1998","1998","310","15 - 24 years","-","Both sexes","05","Immigrants: All origins","Thousand","12.4"
"PEA03","Estimated Migration (Persons in April)","1998","1998","310","15 - 24 years","1","Male","01","Net migration","Thousand",""
"PEA03","Estimated Migration (Persons in April)","1998","1998","310","15 - 24 years","1","Male","04","Emigrants: All destinations","Thousand","10.1"
"PEA03","Estimated Migration (Persons in April)","1998","1998","310","15 - 24 years","1","Male","05","Immigrants: All origins","Thousand","5.1"
"PEA03","Estimated Migration (Persons in April)","1998","1998","310","15 - 24 years","2","Female","01","Net migration","Thousand",""
"PEA03","Estimated Migration (Persons in April)","1998","1998","310","15 - 24 years","2","Female","04","Emigrants: All destinations","Thousand","10.9"
"PEA03","Estimated Migration (Persons in April)","1998","1998","310","15 - 24 years","2","Female","05","Immigrants: All origins","Thousand","7.3"
"PEA03","Estimated Migration (Persons in April)","1998","1998","420","25 - 44 years","-","Both sexes","01","Net migration","Thousand",""
"PEA03","Estimated Migration (Persons in April)","1998","1998","420","25 - 44 years","-","Both sexes","04","Emigrants: All destinations","Thousand","5.8"
